,lat,lon,ref,name,description,gbfs:name,gbfs:station_id,capacity,amenity,brand,brand:ja,brand:wikidata,brand:website,gbfs:system_id,authentication:app,fee,lat_label,lon_label
662,35.702525,139.796632,G4-03,本所1-6-5,,G4-03.本所1-6-5,915,13,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,2
663,35.69566,139.79214,G4-01,両国ビューホテル1,,G4-01.両国ビューホテル1,916,8,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,2
664,35.69562,139.79206,G4-02,両国ビューホテル2,,G4-02.両国ビューホテル2,917,6,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,2
665,38.24918,140.88372,124,ステータス,,124.ステータス,918,9,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,2
666,35.146424,136.89776,191,東横INN 名古屋金山,,191.東横INN 名古屋金山,920,3,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,0,1
667,35.732291,139.82012,G1-01,鐘ヶ淵駅南自転車駐車場,,G1-01.鐘ヶ淵駅南自転車駐車場,922,10,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,2
668,35.509963,139.563993,M-003,鴨居駅南口第二駐輪場,,M-003.鴨居駅南口第二駐輪場,924,10,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,1,1
669,34.665711,135.503985,B-10,なんばオリエンタルホテル,,B-10.なんばオリエンタルホテル,925,19,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,0,0
670,34.690791,135.507664,B-05,EM北浜ビル,,B-05.EM北浜ビル,926,4,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,0,0
671,34.669713,135.500662,B-58,クロスホテル大阪,,B-58.クロスホテル大阪,927,4,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,0,0
672,35.532615,139.700332,Z22,みんちゅう京急川崎駅前駐輪場内ラックスペース,,Z22.みんちゅう京急川崎駅前駐輪場内ラックスペース,928,3,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,1,1
673,35.613387,139.749307,I1-97,トミンハイム東品川三丁目第二,,I1-97.トミンハイム東品川三丁目第二,930,19,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,1,2
674,35.69617,139.722021,D4-09,トミンハイム仲之町,,D4-09.トミンハイム仲之町,931,5,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,2
675,35.719674,139.593696,T2-49,善福寺公園テニスクラブ,,T2-49.善福寺公園テニスクラブ,932,9,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
676,35.482201,139.61817,O-004,薬クリエイト横浜六角橋店,,O-004.薬クリエイト横浜六角橋店,933,4,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,1,1
